name,fy,fp,net_income,revenue,revenue_yoy,revenue_qoq,profit_margin
"ADVANCED BIOENERGY, LLC",2015.0,FY,-9767000.0,,,,
"ADVANCED BIOENERGY, LLC",2016.0,Q1,2703000.0,,,,
ADVANCED BIOMEDICAL TECHNOLOGIES INC.,2015.0,FY,-827756.0,,,,
ADVANCED BIOMEDICAL TECHNOLOGIES INC.,2016.0,Q1,-827756.0,,,,
"ADVANCED DISPOSAL SERVICES, INC.",2015.0,FY,-117800000.0,,,,
"ADVANCED DRAINAGE SYSTEMS, INC.",2014.0,FY,20660000.0,,,,
"ADVANCED DRAINAGE SYSTEMS, INC.",2014.0,Q1,12974000.0,,,,
"ADVANCED DRAINAGE SYSTEMS, INC.",2014.0,Q2,14740000.0,,,,
"ADVANCED DRAINAGE SYSTEMS, INC.",2014.0,Q3,-4877000.0,,,,
"ADVANCED EMISSIONS SOLUTIONS, INC.",2014.0,FY,-13129000.0,16316000.0,,,-0.8046702623191959
ADVANCED ENERGY INDUSTRIES INC,2015.0,FY,32086000.0,,,,
ADVANCED MICRO DEVICES INC,2015.0,FY,-83000000.0,,,,
ADVANCED OXYGEN TECHNOLOGIES INC,2016.0,Q2,-64924.0,10140.0,,,-6.40276134122288
ADVANSOURCE BIOMATERIALS CORP,2015.0,Q3,-185000.0,497000.0,,,-0.3722334004024145
"ADVAXIS, INC.",2015.0,FY,-16525314.0,,,,
"ADVAXIS, INC.",2016.0,Q1,-7033870.0,,,,
ADVISORY BOARD CO,2015.0,FY,23992000.0,,,,
AECOM,2016.0,Q1,-138975000.0,,,,
"AEGERION PHARMACEUTICALS, INC.",2015.0,FY,-63358000.0,,,,
AEGION CORP,2015.0,FY,44351000.0,1091420000.0,,,0.04063605211559253
AEHR TEST SYSTEMS,2016.0,Q2,-2114000.0,2615000.0,,,-0.8084130019120459
"AEMETIS, INC",2015.0,FY,7687000.0,,,,
"AEOLUS PHARMACEUTICALS, INC.",2016.0,Q1,-698000.0,,,,
AEP INDUSTRIES INC,2015.0,FY,10748000.0,,,,
AEP INDUSTRIES INC,2016.0,Q1,476000.0,,,,
AERCAP HOLDINGS N.V.,2015.0,FY,292410000.0,1050066000.0,,,0.27846821056962134
AERIE PHARMACEUTICALS INC,2015.0,FY,-31148000.0,,,,
AEROCENTURY CORP,2015.0,FY,-11294000.0,,,,
"AEROGROW INTERNATIONAL, INC.",2015.0,Q3,1180000.0,,,,
"AEROHIVE NETWORKS, INC",2015.0,FY,-33227000.0,,,,
"AEROJET ROCKETDYNE HOLDINGS, INC.",2015.0,FY,162900000.0,,,,
AEROVIRONMENT INC,2016.0,Q3,,68397000.0,,,
AES CORP,2015.0,FY,114000000.0,,,,
AETHLON MEDICAL INC,2015.0,Q3,-1550457.0,,,,
AETNA INC /PA/,2015.0,FY,1913600000.0,47294600000.0,,,0.04046127887750398
"AFFILIATED MANAGERS GROUP, INC.",2015.0,FY,360500000.0,,,,
"AFFINION GROUP HOLDINGS, INC.",2015.0,FY,-135500000.0,1334700000.0,,,-0.10152094103543867
"AFFINION GROUP, INC.",2015.0,FY,-89600000.0,1334700000.0,,,-0.06713119052970705
AFFINITY GAMING,2015.0,FY,-1227000.0,443662000.0,,,-0.0027656188720241986
AFFYMETRIX INC,2015.0,FY,-16327000.0,,,,
"AFH ACQUISITION IX, INC.",2015.0,FY,-6351.0,,,,
"AFH ACQUISITION IX, INC.",2016.0,Q1,-1290.0,,,,
"AFH ACQUISITION V, INC.",2015.0,FY,-6351.0,,,,
"AFH ACQUISITION V, INC.",2016.0,Q1,-1290.0,,,,
"AFH ACQUISITION VI, INC.",2015.0,FY,-6351.0,,,,
"AFH ACQUISITION VI, INC.",2016.0,Q1,-1290.0,,,,
"AFH ACQUISITION VII, INC.",2015.0,FY,-61302.0,,,,
"AFH ACQUISITION VII, INC.",2016.0,Q1,-1290.0,,,,
"AFH ACQUISITION VIII, INC.",2015.0,FY,-6351.0,,,,
"AFH ACQUISITION VIII, INC.",2016.0,Q1,-1290.0,,,,
"AFH ACQUISITION XI, INC.",2015.0,FY,-6494.0,,,,
"AFH ACQUISITION XI, INC.",2016.0,Q1,-1326.0,,,,
"AFH ACQUISITION XII, INC.",2015.0,FY,-6351.0,,,,
"AFH ACQUISITION XII, INC.",2016.0,Q1,-1290.0,,,,
AFLAC INC,2015.0,FY,3158000000.0,23939000000.0,,,0.13191862650904382
"AFTERMASTER, INC.",2016.0,Q2,-4021456.0,26815.0,,,-149.9703897072534
"AG MORTGAGE INVESTMENT TRUST, INC.",2015.0,FY,-31578636.0,,,,
AG&E HOLDINGS INC.,2015.0,FY,651000.0,,,,
AGCO CORP /DE,2015.0,FY,597200000.0,,,,
AGENUS INC,2015.0,FY,-30072669.0,3045207.0,,,-9.875410440078458
AGILYSYS INC,2014.0,FY,-1298000.0,,,,
AGILYSYS INC,2015.0,Q3,-2715000.0,,,,
AGIOS PHARMACEUTICALS INC,2015.0,FY,-39407000.0,,,,
AGL RESOURCES INC,2015.0,FY,295000000.0,4209000000.0,,,0.07008790686623902
AGREE REALTY CORP,2015.0,FY,19674575.0,43517664.0,,,0.4521054944493344
"AGRITEK HOLDINGS, INC.",2015.0,Q3,-543937.0,,,,
"AGROFRESH SOLUTIONS, INC.",2015.0,FY,-14021000.0,,,,
AIM EXPLORATION INC.,2016.0,Q1,-239276.0,0.0,,,-inf
"AIMMUNE THERAPEUTICS, INC.",2015.0,FY,-4825000.0,,,,
AINA LE'A INC.,2015.0,Q3,-1112853.0,,,,
AIR LEASE CORP,2015.0,FY,,858675000.0,,,
AIR METHODS CORP,2015.0,FY,62339000.0,,,,
AIR PRODUCTS & CHEMICALS INC /DE/,2016.0,Q1,324600000.0,,,,
AIR T INC,2015.0,Q3,1448453.0,30892986.0,,,0.046886144317677805
"AIR TRANSPORT SERVICES GROUP, INC.",2015.0,FY,-19628000.0,580023000.0,,,-0.03384003737782812
AIRCASTLE LTD,2015.0,FY,29781000.0,708645000.0,,,0.04202527358550473
AIRGAS INC,2015.0,Q3,93199000.0,,,,
AIRWARE LABS CORP.,2015.0,FY,-17082226.0,179494.0,,,-95.16878558614772
AIRWARE LABS CORP.,2016.0,Q1,-923134.0,93284.0,,-0.48029460594783113,-9.895952146134386
"AJS BANCORP, INC.",2015.0,FY,2102000.0,,,,
AK STEEL HOLDING CORP,2015.0,FY,-46800000.0,,,,
AKAMAI TECHNOLOGIES INC,2015.0,FY,293487000.0,1577922000.0,,,0.1859958857281919
AKARI THERAPEUTICS PLC,2015.0,FY,-1947553.0,,,,
"AKEBIA THERAPEUTICS, INC.",2015.0,FY,-13167000.0,,,,
AKERS BIOSCIENCES INC,2015.0,FY,-3142960.0,4427174.0,,,-0.709924660742948
"AKOUSTIS TECHNOLOGIES, INC.",2015.0,Q3,-157115.0,,,,
ALADDIN INTERNATIONAL INC /MN/,2016.0,Q2,-14270.0,,,,
ALAMO GROUP INC,2015.0,FY,36094000.0,,,,
ALAMOGORDO FINANCIAL CORP,2015.0,FY,-132522.0,,,,
ALANCO TECHNOLOGIES INC,2016.0,Q2,-176800.0,,,,
"ALARM.COM HOLDINGS, INC.",2015.0,FY,4524000.0,,,,
"ALASKA AIR GROUP, INC.",2015.0,FY,508000000.0,,,,
ALASKA COMMUNICATIONS SYSTEMS GROUP INC,2015.0,FY,158471000.0,,,,
ALBANY INTERNATIONAL CORP /DE/,2015.0,FY,11500000.0,186700000.0,,,0.061596143545795394
ALBANY MOLECULAR RESEARCH INC,2015.0,FY,11768000.0,246575000.0,,,0.047725844063672314
ALBEMARLE CORP,2015.0,FY,413171000.0,,,,
"ALCO, INC.",2015.0,FY,-815605.0,5337978.0,,,-0.15279287400585015
ALCOA INC.,2015.0,FY,-2285000000.0,,,,
ALCOBRA LTD.,2015.0,FY,-10548000.0,,,,
ALDER BIOPHARMACEUTICALS INC,2015.0,FY,-20613000.0,,,,
"ALDEYRA THERAPEUTICS, INC.",2015.0,FY,-5187259.0,,,,
ALERIS CORP,2015.0,FY,-37100000.0,2520800000.0,,,-0.014717549984132022
"ALEXANDER & BALDWIN, INC.",2015.0,FY,34300000.0,,,,
ALEXANDERS INC,2015.0,FY,56915000.0,,,,
ALEXANDRIA REAL ESTATE EQUITIES INC,2015.0,FY,136217000.0,,,,
ALEXION PHARMACEUTICALS INC,2015.0,FY,252895000.0,,,,
ALEXZA PHARMACEUTICALS INC.,2015.0,FY,-39615000.0,47839000.0,,,-0.828090052049583
ALGAE DYNAMICS CORP.,2015.0,Q2,232956.0,,,,
ALGAE DYNAMICS CORP.,2015.0,Q3,568906.0,,,,
"ALGODON WINES & LUXURY DEVELOPMENT GROUP, INC.",2015.0,FY,-9063427.0,,,,
ALGONQUIN POWER & UTILITIES CORP.,2015.0,FY,75701000.0,941614000.0,,,0.08039493890277757
ALICO INC,2016.0,Q1,5206000.0,19070000.0,,,0.27299423177766124
ALIGN TECHNOLOGY INC,2015.0,FY,64295000.0,,,,
ALIMERA SCIENCES INC,2015.0,FY,,1872000.0,,,
ALKALINE WATER CO INC,2016.0,Q1,-4229513.0,552699.0,,,-7.6524708747437575
